"RANK","LAST","ON","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE",
54,"NEW",1,"HACE CALOR","KALEB DI MASI, SFERA EBBASTA & RVFV FEAT. OMAR VARELA","WAPEO","INDIPENDENTI"
55,99,81,"MI FAI IMPAZZIRE","BLANCO & SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
56,93,32,"VIENI NEL MIO CUORE","ULTIMO","ULTIMO RECORDS","BELIEVE"
57,97,40,"I LOVE YOU BABY","JOVANOTTI & SIXPM","CAPITOL","UNIVERSAL MUSIC"
58,"NEW",1,"DON'T YOU WORRY","BLACK EYED PEAS, SHAKIRA & DAVID GUETTA","EPIC","SONY MUSIC"
59,95,7,"MADE YOU LOOK","MEGHAN TRAINOR","EPIC","SONY MUSIC"
60,100,20,"I AIN'T WORRIED","ONEREPUBLIC","VIRGIN","UNIVERSAL MUSIC"
61,96,49,"BRIVIDI","MAHMOOD & BLANCO","ISLAND","UNIVERSAL MUSIC"
62,98,46,"BABY GODDAMN","TANANAI","CAPITOL","UNIVERSAL MUSIC"
63,88,5,"HIKIKOMORI","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
64,90,4,"CRISI DI STATO","FEDEZ","COLUMBIA","SONY MUSIC"
65,"NEW",1,"HEAVEN","BOOMDABASH & EIFFEL 65","B1","UNIVERSAL MUSIC"
66,"NEW",1,"TROPICANA","BOOMDABASH & ANNALISA","CAPITOL/WARNER","UNIVERSAL MUSIC"
67,"NEW",1,"LEI","NEIMA EZZA FEAT. RONDODASOSA","EPIC","SONY MUSIC"
68,87,3,"SENZA RUMORE","LAZZA","ISLAND","UNIVERSAL MUSIC"
69,94,5,"ZEN","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
70,"NEW",1,"LOVE","MARRACASH & GUÈ","ISLAND","UNIVERSAL MUSIC"
71,"NEW",1,"PARE","GHALI FEAT. MADAME","ATLANTIC","WARNER MUSIC"
72,"NEW",1,"CUFF IT","BEYONCÉ","COLUMBIA","SONY MUSIC"
73,"NEW",1,"ANTI-HERO","TAYLOR SWIFT","ISLAND","UNIVERSAL MUSIC"
74,"NEW",1,"OK. RESPIRA","ELODIE","ISLAND","UNIVERSAL MUSIC"
75,"NEW",1,"COLD HEART","ELTON JOHN & DUA LIPA","CAPITOL/WARNER","UNIVERSAL MUSIC"
76,"NEW",1,"MI FIDERÒ","MARCO MENGONI FEAT. MADAME","EPIC/SUGAR","SONY MUSIC"
77,"NEW",1,"BAGNO A MEZZANOTTE","ELODIE","ISLAND","UNIVERSAL MUSIC"
78,"NEW",1,"FINCHÉ NON MI SEPPELLISCONO","BLANCO","ISLAND","UNIVERSAL MUSIC"
79,"NEW",1,"SHALLOW","LADY GAGA & BRADLEY COOPER","VIRGIN","UNI"
80,"NEW",1,"ESCAPISM.","RAYE FEAT. 070 SHAKE","HUMAN RE SOURCES","THE ORCHARD"
81,"NEW",1,"BAM BAM","CAMILA CABELLO FEAT. ED SHEERAN","EPIC/WARNER","SONY MUSIC/WARNER MUSIC"
82,"NEW",1,"UN ALTRO SHOW","SHIVA FEAT. GEOLIER","MILANO OVEST/COLUMBIA","SONY MUSIC"
83,"NEW",1,"LA BACHATA","MANUEL TURIZO","EPIC","SONY MUSIC"
84,"NEW",1,"TI VA DI STARE BENE","ULTIMO","ULTIMO RECORDS","BELIEVE"
85,"NEW",1,"DESTRI","GAZZELLE","MACISTE DISCHI / ARTIST FIRST","ARTIST FIRST"
86,"NEW",1,"CRAZY LOVE","MARRACASH","ISLAND","UNIVERSAL MUSIC"
87,"NEW",1,"HEAT WAVES","GLASS ANIMALS","CAPITOL","UNIVERSAL MUSIC"
88,1,7,"ALL I WANT FOR CHRISTMAS IS YOU","MARIAH CAREY","COLUMBIA/LEGACY","SONY MUSIC"
89,"NEW",1,"PEPAS","FARRUKO","EPIC","SONY MUSIC"
90,"NEW",1,"CELESTIAL","ED SHEERAN","ATLANTIC RECORDS UK","WARNER MUSIC"
91,"NEW",1,"NOTTI IN BIANCO","BLANCO","ISLAND","UNIVERSAL MUSIC"
92,"NEW",1,"CIAO CIAO","LA RAPPRESENTANTE DI LISTA","WOODWORM/RCA NUMERO UNO ","SONY MUSIC"
93,"NEW",1,"OVUNQUE SARAI","IRAMA","ATLANTIC","WARNER MUSIC"
94,"NEW",1,"FINIMONDO","M¥SS KETA","ISLAND","UNIVERSAL MUSIC"
95,"NEW",1,"SIMPLY THE BEST","BLACK EYED PEAS, ANITTA & EL ALFA","EPIC","SONY MUSIC"
96,"NEW",1,"SUPERCLASSICO","ERNIA","ISLAND","UNIVERSAL MUSIC"
97,"NEW",1,"ALIBI","LAZZA","ISLAND","UNIVERSAL MUSIC"
98,"NEW",1,"MORTO MAI","LAZZA","ISLAND","UNIVERSAL MUSIC"
99,"NEW",1,"NOTTI BLU","ALESSANDRA AMOROSO","EPIC","SONY MUSIC"
100,"NEW",1,"MAMMA MIA","SFERA EBBASTA & RVSSIAN","ISLAND","UNIVERSAL MUSIC"
