"RANK","LAST","ON","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE",
1,"NEW",1,"X CASO","GEOLIER FEAT. SFERA EBBASTA","COLUMBIA","SONY MUSIC"
2,1,23,"QUEVEDO: BZRP MUSIC SESSIONS, VOL. 52","BIZARRAP & QUEVEDO","DALE PLAY RECORDS","THE ORCHARD"
3,"NEW",1,"MONDAY","GEOLIER FEAT. SHIVA & MICHELANGELO","COLUMBIA","SONY MUSIC"
4,8,11,"CHIAGNE","GEOLIER FEAT. LAZZA, TAKAGI & KETRA","COLUMBIA","SONY MUSIC"
5,2,7,"NON LO SAI","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
6,3,16,"RICORDI","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
7,4,40,"PANICO","LAZZA, TAKAGI & KETRA","ISLAND","UNIVERSAL MUSIC"
8,48,8,"MONEY","GEOLIER","COLUMBIA","SONY MUSIC"
9,"NEW",1,"COME VUOI","GEOLIER","COLUMBIA","SONY MUSIC"
10,"NEW",1,"ME VULEV FA RUOSS","GEOLIER","COLUMBIA","SONY MUSIC"
11,6,27,"SNAP","ROSA LINN","COLUMBIA","SONY MUSIC"
12,7,19,"BELLISSIMA","ANNALISA","WARNER RECORDS","WARNER MUSIC"
13,"NEW",1,"RICCHEZZA","GEOLIER","COLUMBIA","SONY MUSIC"
14,"NEW",1,"NUN SE VER","GEOLIER FEAT. GUÈ","COLUMBIA","SONY MUSIC"
15,5,33,"FERRARI","JAMES HYPE & MIGGY DELA ROSA FEAT. LAZZA ","CAPITOL/ISLAND","UNIVERSAL MUSIC"
16,22,7,"A L I","IRAMA","ATLANTIC","WARNER MUSIC"
17,"NEW",1,"LONELY","GEOLIER","COLUMBIA","SONY MUSIC"
18,11,13,"ABISSALE","TANANAI","CAPITOL","UNIVERSAL MUSIC"
19,9,7,"ALLELUIA","SHIVA FEAT. SFERA EBBASTA","MILANO OVEST/COLUMBIA","SONY MUSIC"
20,10,20,"I'M GOOD (BLUE)","DAVID GUETTA & BEBE REXHA","PARLOPHONE UK","WARNER MUSIC"
21,"NEW",1,"MARADONA","GEOLIER","COLUMBIA","SONY MUSIC"
22,"NEW",1,"POCO/TROPPO","GEOLIER","COLUMBIA","SONY MUSIC"
23,"NEW",1,"I AM","GEOLIER","COLUMBIA","SONY MUSIC"
24,15,16,"UNHOLY","SAM SMITH & KIM PETRAS","CAPITOL","UNIVERSAL MUSIC"
25,13,15,"!LY","THASUP FEAT. COEZ","ARISTA/COLUMBIA","SONY MUSIC"
26,14,14,"THE LONELIEST","MÅNESKIN","EPIC","SONY MUSIC"
27,12,33,"GIOVANI WANNABE","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
28,16,26,"S!R!","THASUP FEAT. LAZZA & SFERA EBBASTA","ARISTA/COLUMBIA/ISLAND","SONY MUSIC"
29,20,6,"BLOODY MARY","LADY GAGA","VIRGIN","UNIVERSAL MUSIC"
30,17,32,"CAPRI SUN","CAPO PLAZA","PLAZA MUSIC/ATLANTIC","WARNER MUSIC"
31,"NEW",1,"NAPO****NO","GEOLIER","COLUMBIA","SONY MUSIC"
32,19,13,"VIOLA","FEDEZ FEAT. SALMO","COLUMBIA","SONY MUSIC"
33,"NEW",1,"NON CI TORNI PIÙ","GEOLIER FEAT. PAKY","COLUMBIA","SONY MUSIC"
34,21,40,"USCITO DI GALERA","LAZZA","ISLAND","UNIVERSAL MUSIC"
35,28,20,"CALM DOWN","REMA","VMLAS","UNIVERSAL MUSIC"
36,23,10,"TAKE 4","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
37,33,4,"LET GO","CENTRAL CEE","CENTRAL CEE","WARNER MUSIC"
38,27,25,"ANOTHER LOVE","TOM ODELL","SONY MUSIC UK","SONY MUSIC"
39,"NEW",1,"GIVE YOU MY LOVE","GEOLIER","COLUMBIA","SONY MUSIC"
40,35,8,"BELLA FREGATURA","ERNIA","ISLAND","UNIVERSAL MUSIC"
41,18,27,"TITÍ ME PREGUNTÓ","BAD BUNNY","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
42,"NEW",1,"IN TRAPPOLA","GEOLIER FEAT. LELE BLADE","COLUMBIA","SONY MUSIC"
43,26,40,"PIOVE","LAZZA & SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
44,24,71,"PASTELLO BIANCO","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
45,47,6,"CREEPIN'","METRO BOOMIN, THE WEEKND & 21 SAVAGE","REPUBLIC RECORDS","UNIVERSAL MUSIC"
46,30,32,"NOSTALGIA","BLANCO","ISLAND","UNIVERSAL MUSIC"
47,"NEW",1,"HERE I COME","GEOLIER","COLUMBIA","SONY MUSIC"
48,29,42,"MOLOTOV","LAZZA","ISLAND","UNIVERSAL MUSIC"
49,"NEW",1,"NIENTE DI SPECIALE","GEOLIER","COLUMBIA","SONY MUSIC"
50,25,50,"DOVE SI BALLA","DARGEN D'AMICO","ISLAND","UNIVERSAL MUSIC"
51,42,8,"ACQUA TONICA","ERNIA, GEOLIER & JUNIOR K","ISLAND","UNIVERSAL MUSIC"
52,44,13,"STAR WALKIN' (LEAGUE OF LEGENDS WORLDS ANTHEM)","LIL NAS X","COLUMBIA","SONY MUSIC"
53,38,7,"VORREI","SHIVA FEAT. LAZZA","MILANO OVEST/COLUMBIA","SONY MUSIC"
54,40,21,"MUJER","ICY SUBZERO","COLUMBIA","SONY MUSIC"
55,34,13,"MISS YOU","OLIVER TREE & ROBIN SCHULZ","ATLANTIC RECORDS","WARNER MUSIC"
56,36,46,"5 GOCCE","IRAMA FEAT. RKOMI","ATLANTIC","WARNER MUSIC"
57,31,32,"LA DOLCE VITA","FEDEZ, TANANAI & MARA SATTEI","COLUMBIA/CAPITOL","SONY MUSIC"
58,32,24,"DESPECHÁ","ROSALÍA","EPIC","SONY MUSIC"
59,41,28,"TÊTE","AVA FEAT. MEDY & VILLABANKS","ATLANTIC","WARNER MUSIC"
60,51,5,"IMPORTANTE","MARRACASH","ISLAND","UNIVERSAL MUSIC"
61,39,41,"AS IT WAS","HARRY STYLES","COLUMBIA","SONY MUSIC"
62,43,30,"EXTASI","FRED DE PALMA","WARNER RECORDS","WARNER MUSIC"
