"RANK","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE"
66,"SHAKERANDO","RHOVE","VIRGIN","UNIVERSAL MUSIC"
67,"FARFALLE","SANGIOVANNI","SUGAR","UNIVERSAL MUSIC"
68,"VIENI NEL MIO CUORE","ULTIMO","ULTIMO RECORDS","BELIEVE"
69,"CARAMELLO","ROCCO HUNT, ELETTRA LAMBORGHINI & LOLA ÍNDIGO","EPIC","SONY MUSIC"
70,"ESCAPISM.","RAYE FEAT. 070 SHAKE","HUMAN RE SOURCES","THE ORCHARD"
71,"NESSUNO","LAZZA & GEOLIER","ISLAND","UNIVERSAL MUSIC"
72,"LO-FI FOR U","TEDUA & SHUNE","EPIC","SONY MUSIC"
73,"HIKIKOMORI","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
74,"I AIN'T WORRIED","ONEREPUBLIC","VIRGIN","UNIVERSAL MUSIC"
75,"OK. RESPIRA","ELODIE","ISLAND","UNIVERSAL MUSIC"
76,"MADE YOU LOOK","MEGHAN TRAINOR","EPIC","SONY MUSIC"
77,"CRISI DI STATO","FEDEZ","COLUMBIA","SONY MUSIC"
78,"BRIVIDI","MAHMOOD & BLANCO","ISLAND","UNIVERSAL MUSIC"
79,"DON'T YOU WORRY","BLACK EYED PEAS, SHAKIRA & DAVID GUETTA","EPIC","SONY MUSIC"
80,"MI FAI IMPAZZIRE","BLANCO & SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
81,"I LOVE YOU BABY","JOVANOTTI & SIXPM","CAPITOL","UNIVERSAL MUSIC"
82,"ANTI-HERO","TAYLOR SWIFT","ISLAND","UNIVERSAL MUSIC"
83,"BABY GODDAMN","TANANAI","CAPITOL","UNIVERSAL MUSIC"
84,"LEI","NEIMA EZZA FEAT. RONDODASOSA","EPIC","SONY MUSIC"
85,"HACE CALOR","KALEB DI MASI, SFERA EBBASTA & RVFV FEAT. OMAR VARELA","WAPEO","INDIPENDENTI"
86,"TI VA DI STARE BENE","ULTIMO","ULTIMO RECORDS","BELIEVE"
87,"TROPICANA","BOOMDABASH & ANNALISA","CAPITOL/WARNER","UNIVERSAL MUSIC"
88,"MI FIDERÒ","MARCO MENGONI FEAT. MADAME","EPIC/SUGAR","SONY MUSIC"
89,"ZEN","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
90,"CUFF IT","BEYONCÉ","COLUMBIA","SONY MUSIC"
91,"KILL BILL","SZA","RCA RECORDS LABEL","SONY MUSIC"
92,"UN ALTRO SHOW","SHIVA FEAT. GEOLIER","MILANO OVEST/COLUMBIA","SONY MUSIC"
93,"CELESTIAL","ED SHEERAN","ATLANTIC RECORDS UK","WARNER MUSIC"
94,"DESTRI","GAZZELLE","MACISTE DISCHI / ARTIST FIRST","ARTIST FIRST"
95,"R()T()NDA","THASUP FEAT. TIZIANO FERRO","ARISTA/COLUMBIA","SONY MUSIC"
96,"SENZA RUMORE","LAZZA","ISLAND","UNIVERSAL MUSIC"
97,"SHALLOW","LADY GAGA & BRADLEY COOPER","VIRGIN","UNI"
98,"PARE","GHALI FEAT. MADAME","ATLANTIC","WARNER MUSIC"
99,"LA BACHATA","MANUEL TURIZO","EPIC","SONY MUSIC"
100,"SUPERCLASSICO","ERNIA","ISLAND","UNIVERSAL MUSIC"
101,"NOTTI BLU","ALESSANDRA AMOROSO","EPIC","SONY MUSIC"
102,"CRAZY LOVE","MARRACASH","ISLAND","UNIVERSAL MUSIC"
103,"OVUNQUE SARAI","IRAMA","ATLANTIC","WARNER MUSIC"
104,"CRUDELIA (I NERVI)","MARRACASH","ISLAND","UNIVERSAL MUSIC"
105,"COLD HEART","ELTON JOHN & DUA LIPA","CAPITOL/WARNER","UNIVERSAL MUSIC"
106,"MORTO MAI","LAZZA","ISLAND","UNIVERSAL MUSIC"
107,"SIMPLY THE BEST","BLACK EYED PEAS, ANITTA & EL ALFA","EPIC","SONY MUSIC"
108,"HEAT WAVES","GLASS ANIMALS","CAPITOL","UNIVERSAL MUSIC"
109,"LOVE","MARRACASH & GUÈ","ISLAND","UNIVERSAL MUSIC"
110,"FINCHÉ NON MI SEPPELLISCONO","BLANCO","ISLAND","UNIVERSAL MUSIC"
111,"BAGNO A MEZZANOTTE","ELODIE","ISLAND","UNIVERSAL MUSIC"
112,"BAM BAM","CAMILA CABELLO FEAT. ED SHEERAN","EPIC/WARNER","SONY MUSIC/WARNER MUSIC"
113,"HOLD ON","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
114,"SUPERMODEL","MÅNESKIN","EPIC","SONY MUSIC"
115,"MAMMA MIA","SFERA EBBASTA & RVSSIAN","ISLAND","UNIVERSAL MUSIC"
116,"NOTTI IN BIANCO","BLANCO","ISLAND","UNIVERSAL MUSIC"
117,"MOCKINGBIRD","EMINEM","AFTERMATH","UNIVERSAL MUSIC"
118,"BONES","IMAGINE DRAGONS","VIRGIN","UNIVERSAL MUSIC"
119,"SCRIVILE SCEMO","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
120,"PROPAGANDA","FABRI FIBRA, COLAPESCE & DIMARTINO","EPIC","SONY MUSIC"
121,"NON LO DIRE A NESSUNO","GAZZELLE","MACISTE DISCHI / ARTIST FIRST","ARTIST FIRST"
122,"ALIBI","LAZZA","ISLAND","UNIVERSAL MUSIC"
123,"PENSAVA","ICY SUBZERO","COLUMBIA","SONY MUSIC"
124,"LUNA PIENA","RKOMI, IRAMA & SHABLO","ISLAND/WARNER","UNIVERSAL MUSIC"
125,"PERFECT","ED SHEERAN","ATLANTIC RECORDS","WARNER MUSIC"
126,"CIAO CIAO","LA RAPPRESENTANTE DI LISTA","WOODWORM/RCA NUMERO UNO ","SONY MUSIC"
127,"BLUE CHEESE","RONDODASOSA & NKO FEAT. LAZZA","REAL MUSIC/ATLANTIC","WARNER MUSIC"
128,"TRIBALE","ELODIE","ISLAND","UNIVERSAL MUSIC"
129,"FERMA A GUARDARE","ERNIA & PINGUINI TATTICI NUCLEARI","ISLAND","UNIVERSAL MUSIC"
130,"ABCDEFU","GAYLE","ATLANTIC","WARNER MUSIC"
131,"SAVE YOUR TEARS","THE WEEKND","ISLAND","UNIVERSAL MUSIC"
132,"BLINDING LIGHTS","THE WEEKND","ISLAND","UNIVERSAL MUSIC"
133,"NUOVO RANGE","RKOMI, SFERA EBBASTA & JUNIOR K","ISLAND","UNIVERSAL MUSIC"
134,"CHE SARÀ","ACHILLE LAURO","ELEKTRA RECORDS ITALY","WARNER MUSIC"
135,"SHARM EL SHEIKH","PAKY","ISLAND","UNIVERSAL MUSIC"
136,"EGO","ICY SUBZERO","COLUMBIA","SONY MUSIC"
137,"LIFT ME UP","RIHANNA","ISLAND","UNIVERSAL MUSIC"
138,"SE LO SENTI LO SAI","JOVANOTTI","CAPITOL","UNIVERSAL MUSIC"
139,"UNTIL I FOUND YOU","STEPHEN SANCHEZ","REPUBLIC RECORDS","UNIVERSAL MUSIC"
140,"SOMEONE YOU LOVED","LEWIS CAPALDI","VIRGIN","UNI"
141,"FORGET ME","LEWIS CAPALDI","VIRGIN","UNIVERSAL MUSIC"
142,"NON PIOVE PIÙ","AKA 7EVEN","COLUMBIA","SONY MUSIC"
143,"MALA","FRED DE PALMA FEAT. JVLI, LAZZA & TONY EFFE","WM ITALY","WARNER MUSIC"
144,"BUONANOTTE","ERNIA","ISLAND","UNIVERSAL MUSIC"
145,"ANGELINA JOLIE","BRESH","EPIC","SONY MUSIC"
146,"INSUPERABILE","RKOMI","ISLAND","UNIVERSAL MUSIC"
147,"OCCHI ROSSI","COEZ","CAROSELLO RECORDS","THE ORCHARD"
148,"RIDERE","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
149,"HOLD ME CLOSER","ELTON JOHN & BRITNEY SPEARS","CAPITOL/SONY","UNIVERSAL MUSIC"
150,"CUP","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
151,"CASA","NEIMA EZZA & NKO","EPIC","SONY MUSIC"
152,"L'ULTIMA NOTTE","ARIETE","BOMBA DISCHI","UNIVERSAL MUSIC"
153,"MICHELLE PFEIFFER","ROSE VILLAIN FEAT. TONY EFFE","COLUMBIA","SONY MUSIC"
154,"BUBBLE","TAKAGI & KETRA FEAT. THASUP & SALMO","COLUMBIA","SONY MUSIC"
155,"HOLD MY HAND","LADY GAGA","VIRGIN","UNIVERSAL MUSIC"
156,"GIORNI CONTATI","NIGHT SKINNY, PAKY & NOYZ NARCOS FEAT. GEOLIER & SHIVA","ISLAND","UNIVERSAL MUSIC"
157,"KUMITE","SALMO","COLUMBIA","SONY MUSIC"
158,"CAOS","FABRI FIBRA, LAZZA & MADAME","EPIC","SONY MUSIC"
159,"WHERE ARE YOU NOW","LOST FREQUENCIES & CALUM SCOTT","EPIC","SONY MUSIC"
160,"TUTTI I MIEI RICORDI","MARCO MENGONI","EPIC","SONY MUSIC"
161,"SURE THING","MIGUEL","JIVE","SONY MUSIC"
162,"C!AO","THASUP FEAT. RONDODASOSA","ARISTA/COLUMBIA","SONY MUSIC"
163,"LA NOTTE DI SAN LORENZO","LUCHÈ","BFM MUSIC","SONY MUSIC"
164,"PUROSANGUE","LUCHÈ FEAT. SHIVA","COLUMBIA","SONY MUSIC"
165,"EASY ON ME","ADELE","COLUMBIA","SONY MUSIC"
166,"IL MIO NOME","ERNIA","ISLAND","UNIVERSAL MUSIC"
167,"BANDITO","MAMBOLOSCO, NARDI & FINESSE","VIRGIN","UNIVERSAL MUSIC"
168,"FINIMONDO","M¥SS KETA","ISLAND","UNIVERSAL MUSIC"
169,"BAD MEMORIES","MEDUZA & JAMES CARTER FEAT. ELLEY DUHÉ & FAST BOY","UNIVERSAL-ISLAND RECORDS LTD.","UNIVERSAL MUSIC"
170,"VIVA LA VIDA","COLDPLAY","PARLOPHONE","WARNER MUSIC"
171,"MALIBÙ","SANGIOVANNI","SUGAR","UNIVERSAL MUSIC"
172,"COME NELLE CANZONI","COEZ","CAROSELLO RECORDS","THE ORCHARD"
173,"PENSANDO A LEI","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
174,"IL MEGLIO DI TE","BRESH & SHUNE","EPIC","SONY MUSIC"
175,"HOW DO I SAY GOODBYE","DEAN LEWIS","UNIVERSAL MUSIC AUSTRALIA PTY. LTD.","UNIVERSAL MUSIC"
176,"PEPAS","FARRUKO","EPIC","SONY MUSIC"
177,"STAY","THE KID LAROI & JUSTIN BIEBER","COLUMBIA/ISLAND","SONY MUSIC/UNIVERSAL MUSIC"
178,"NON ABBIAMO ETÀ","LUCHÈ","ISLAND","UNIVERSAL MUSIC"
179,"SHIVERS","ED SHEERAN","ATLANTIC RECORDS UK","WARNER MUSIC"
180,"GOLDEN HOUR","JVKE","JVKE","THE ORCHARD"
181,"ME PORTO BONITO","BAD BUNNY & CHENCHO CORLEONE","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
182,"RICH FLEX","DRAKE & 21 SAVAGE","ISLAND","UNIVERSAL MUSIC"
183,"SESSO OCCASIONALE","TANANAI","CAPITOL","UNIVERSAL MUSIC"
184,"SUAVEMENTE","SOOLKING FEAT. BORO BORO","VIRGIN","UNIVERSAL MUSIC"
185,"LA CANZONE NOSTRA","MACE, BLANCO & SALMO","ISLAND/SONY","UNIVERSAL MUSIC"
186,"DIAMANTE","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
187,"MILLE","FEDEZ, ACHILLE LAURO & ORIETTA BERTI","SONY/WARNER","SONY MUSIC"
188,"LA MUSICA NON C'È","COEZ","UNDAMENTO","INDIPENDENTI"
189,"STARBOY","THE WEEKND FEAT. DAFT PUNK","UNIVERSAL REPUBLIC RECORDS","UNIVERSAL MUSIC"
190,"UNSTOPPABLE","SIA","MONKEY PUZZLE RECORDS/RCA RECORDS","SONY MUSIC"
191,"DOJA","CENTRAL CEE","CENTRAL CEE","WARNER MUSIC"
192,"OCCHI GRANDI GRANDI","FRANCESCA MICHIELIN","COLUMBIA","SONY MUSIC"
193,"BRIVIDO","GUÈ PEQUENO FEAT. MARRACASH","UNIVERSAL MUSIC","UNIVERSAL MUSIC"
194,"T'APPARTENGO","AMBRA","RCA RECORDS LABEL","SONY MUSIC"
195,"NULLA DI","LAZZA","ISLAND","UNIVERSAL MUSIC"
196,"M' MANC","SHABLO, GEOLIER & SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
197,"FREED FROM DESIRE","GALA","DO IT YOURSELF","BELIEVE"
198,"CIAO BABY","GEMITAIZ","TANTA ROBA/ISLAND","UNIVERSAL MUSIC"
199,"BAD HABITS","ED SHEERAN","ATLANTIC RECORDS UK","WARNER MUSIC"
200,"GASOLINA","ANNA","VIRGIN","UNIVERSAL MUSIC"
201,"RIPTIDE","VANCE JOY","F-STOP RECORDS","WARNER MUSIC"
202,"DIE FOR YOU","THE WEEKND","UME - GLOBAL CLEARING HOUSE","UNIVERSAL MUSIC"
203,"L'ULTIMA VOLTA","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
204,"UNDER THE INFLUENCE","CHRIS BROWN","RCA RECORDS LABEL","SONY MUSIC"
205,"ALWAYS REMEMBER US THIS WAY","LADY GAGA","VIRGIN","UNIVERSAL MUSIC"
206,"RUNNING UP THAT HILL (A DEAL WITH GOD)","KATE BUSH","NOBLE & BRITE","WARNER MUSIC"
207,"DUBBI","MARRACASH","ISLAND","UNIVERSAL MUSIC"
208,"VUOTO DENTRO","SICK LUKE, MARA SATTEI & BRESH","CAROSELLO RECORDS","UNIVERSAL MUSIC"
209,"ENEMY","IMAGINE DRAGONS, JID & LEAGUE OF LEGENDS","VIRGIN","UNIVERSAL MUSIC"
210,"CICATRICI","SHIVA FEAT. TEDUA","MILANO OVEST/COLUMBIA","SONY MUSIC"
211,"BANG BANG","SFERA EBBASTA","ISLAND / DEFJAM RECORDINGS","UNIVERSAL MUSIC"
212,"CAN'T HOLD US","MACKLEMORE & RYAN LEWIS FEAT. RAY DALTON","MACKLEMORE","WARNER MUSIC"
213,"LAMETTE","ROSE VILLAIN FEAT. SALMO","COLUMBIA","SONY MUSIC"
214,"MARGHERITA","COEZ","CAROSELLO RECORDS","THE ORCHARD"
215,"CONTRO IL MONDO","BAUSTELLE","BMG RIGHTS MGMT ITALY S.R.L.","WARNER MUSIC"
216,"NIENTE DA PERDERE","SHIVA","COLUMBIA","SONY MUSIC"
217,"BOTTIGLIE PRIVÈ","SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
218,"AUTO TEDESCA","PAKY","ISLAND","UNIVERSAL MUSIC"
219,"SWEATER WEATHER","THE NEIGHBOURHOOD","COLUMBIA","SONY MUSIC"
220,"NO STRESS","MARCO MENGONI","EPIC","SONY MUSIC"
221,"LONTANISSIMA","DRAST","UNIVERSAL MUSIC ITALIA SRL.","UNIVERSAL MUSIC"
222,"BEGGIN'","MÅNESKIN","EPIC","SONY MUSIC"
223,"IL CIELO NELLA STANZA","SALMO FEAT. NSTASIA","EPIC","SME"
224,"TU MI HAI CAPITO","MADAME FEAT. SFERA EBBASTA","SUGAR/ISLAND","UNIVERSAL MUSIC"
225,"EVERY BREATH YOU TAKE","THE POLICE","POLYDOR ASSOCIATED LABELS","UNIVERSAL MUSIC"
226,"ABOUT DAMN TIME","LIZZO","ATLANTIC RECORDS","WARNER MUSIC"
227,"NON FARE COSÌ","CAPO PLAZA","PLAZA MUSIC/ATLANTIC /WM ITALY","WARNER MUSIC"
228,"NEMESI","MARRACASH & BLANCO","ISLAND","UNIVERSAL MUSIC"
229,"A' VITA SENZ' E TE (ME FA PAURA)","ROCCO HUNT","EPIC","SONY MUSIC"
230,"SOGNI D'ORO","LAZZA","ISLAND","UNIVERSAL MUSIC"
231,"SHARKS","IMAGINE DRAGONS","VIRGIN","UNIVERSAL MUSIC"
232,"SE$$O","BEATRICE QUINTA","SONY MUSIC","SONY MUSIC"
233,"OJITOS LINDOS","BAD BUNNY & BOMBA ESTÉREO","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
234,"2 BE LOVED (AM I READY)","LIZZO","NICE LIFE/ATLANTIC","WARNER MUSIC"
235,"10:35","TIËSTO & TATE MCRAE","ATLANTIC RECORDS","WARNER MUSIC"
236,"MI @MI O È F@KE","THASUP","ARISTA/COLUMBIA","SONY MUSIC"
237,"CRAZY WHAT LOVE CAN DO","DAVID GUETTA, BECKY HILL & ELLA HENDERSON","PARLOPHONE UK","WARNER MUSIC"
238,"PISTOLE NELLA FENDI","NIKO PANDETTA, TEMPOXSO & JANAX","N.P. PRODUCTION","ADA"
239,"FEDELE AL QUARTIERE","NEIMA EZZA & 2ND ROOF FEAT. VALE PAIN","EPIC","SONY MUSIC"
240,"PARTIRE DA TE","RKOMI","ISLAND","UNIVERSAL MUSIC"
241,"PAMPAMPAMPAMPAMPAMPAMPAM","IRAMA","ATLANTIC/WM ITALY","WARNER MUSIC"
242,"MARGOT","ASCANIO","DMB MANAGMENT","SONY MUSIC"
243,"LA NUOVA STELLA DI BROADWAY","CESARE CREMONINI","VIRGIN","UNIVERSAL MUSIC"
244,"SOLDI PULITI","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
245,"BAD HABIT","STEVE LACY","RCA RECORDS LABEL","SONY MUSIC"
246,"LE LUCI DELLA CITTÀ","COEZ","UNDAMENTO","INDIPENDENTI"
247,"PICCOLA STELLA","ULTIMO","HONIRO","BELIEVE"
248,"GLIMPSE OF US","JOJI","88RISING MUSIC/WARNER RECORDS","WARNER MUSIC"
249,"STAGE DIVING","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
250,"UNA NOCHE EN MEDELLÍN","CRIS MJ","NABRU RECORDS LLC","THE ORCHARD"
251,"I WANNA BE YOURS","ARCTIC MONKEYS","DOMINO RECORDING CO LTD","GOODTOGO"
252,"DÁKITI","BAD BUNNY & JHAY CORTEZ","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
253,"TAKE ME TO CHURCH","HOZIER","ISLAND","UNIVERSAL MUSIC"
254,"I WANNA BE YOUR SLAVE","MÅNESKIN","EPIC","SONY MUSIC"
255,"I'M NOT THE ONLY ONE","SAM SMITH","CAPITOL","UNIVERSAL MUSIC"
256,"HULA-HOOP","CARL BRAVE & NOEMI","COLUMBIA/ISLAND","SONY MUSIC"
257,"SUPERHERO (HEROES & VILLAINS)","METRO BOOMIN, FUTURE & CHRIS BROWN","REPUBLIC RECORDS","UNIVERSAL MUSIC"
258,"O FORSE SEI TU","ELISA","ISLAND","UNIVERSAL MUSIC"
259,"SOLITE PARE","SICK LUKE, THA SUPREME & SFERA EBBASTA","CAROSELLO RECORDS","UNIVERSAL MUSIC"
260,"DEMONS","IMAGINE DRAGONS","KID INA KORNER / INTERSCOPE","UNIVERSAL MUSIC"
261,"SCOOBY DOO","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
262,"NINNA NANNA DEL CHICCO DI CAFFÈ","ALLOCCAS KIDS CHOIR","BABY CLUB","A1 ENTERTAINMENT"
263,"DA SOLO","VEGAS JONES, NITRO & NAYT","EPIC","SONY MUSIC"
264,"UNA DIREZIONE GIUSTA","YUNGEST MOONSTAR, NEFFA & THASUP","COLUMBIA","SONY MUSIC"
265,"TRAFFICANTE","NÉZA","FLEXIN GENERATION SRLS","SONY MUSIC"
266,"DOMANI TORNO","AIELLO","COLUMBIA","SONY MUSIC"
267,"BELLY DANCER","IMANBEK & BYOR","MUSICAL FREEDOM","WARNER MUSIC"
268,"VELENO","GUÈ","ISLAND","UNIVERSAL MUSIC"
269,"DENTISTA CROAZIA","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
270,"MONOTONÍA","SHAKIRA & OZUNA","EPIC","SONY MUSIC"
271,"TIK TOK","SFERA EBBASTA, MARRACASH & GUÈ PEQUENO","ISLAND","UNIVERSAL MUSIC"
272,"MALEDETTA PRIMAVERA","LORETTA GOGGI","WM ITALY","WARNER MUSIC"
273,"ROZZI","PAKY","BRIOCHE EDIZIONI MUSICALI","BELIEVE"
274,"SOMEWHERE ONLY WE KNOW","KEANE","UME - GLOBAL CLEARING HOUSE","UNIVERSAL MUSIC"
275,"SOMEONE LIKE YOU","ADELE","XL RECORDINGS","BEGGARS GROUP"
276,"BELIEVER","IMAGINE DRAGONS","UME - GLOBAL CLEARING HOUSE","UNIVERSAL MUSIC"
277,"WITHOUT ME","EMINEM","AFTERMATH","UNIVERSAL MUSIC"
278,"THUNDER","GABRY PONTE, LUM!X & PREZIOSO","GEKAI","WARNER MUSIC"
279,"NON È EASY","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
280,"PIANETI","ULTIMO","HONIRO","BELIEVE"
281,"SUI MURI","PSICOLOGI","BOMBA DISCHI","UNIVERSAL MUSIC"
282,"5 MINUTI","ALFA","ARTIST FIRST","ARTIST FIRST"
283,"ZITTI E BUONI","MÅNESKIN","EPIC","SONY MUSIC"
284,"SENZA DI ME","GEMITAIZ FEAT. VENERUS & FRANCO 126","TANTA ROBA LABEL","UNI"
285,"CHIC","IZI","EPIC","SONY MUSIC"
286,"COUNTING STARS","ONEREPUBLIC","UME - GLOBAL CLEARING HOUSE","UNIVERSAL MUSIC"
287,"CATRAME","LAZZA FEAT. TEDUA","ISLAND","UNI"
288,"MEMORIES","MAROON 5","VIRGIN","UNIVERSAL MUSIC"
289,"BARFLY","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
290,"MY UNIVERSE","COLDPLAY & BTS","PARLOPHONE UK","WARNER MUSIC"
291,"TI DEDICO IL SILENZIO","ULTIMO","HONIRO","BELIEVE"
