"RANK","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE"
1,"QUEVEDO: BZRP MUSIC SESSIONS, VOL. 52","BIZARRAP & QUEVEDO","DALE PLAY RECORDS","THE ORCHARD"
2,"NON LO SAI","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
3,"RICORDI","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
4,"PANICO","LAZZA, TAKAGI & KETRA","ISLAND","UNIVERSAL MUSIC"
5,"FERRARI","JAMES HYPE & MIGGY DELA ROSA FEAT. LAZZA ","CAPITOL/ISLAND","UNIVERSAL MUSIC"
6,"SNAP","ROSA LINN","COLUMBIA","SONY MUSIC"
7,"BELLISSIMA","ANNALISA","WARNER RECORDS","WARNER MUSIC"
8,"CHIAGNE","GEOLIER FEAT. LAZZA, TAKAGI & KETRA","COLUMBIA","SONY MUSIC"
9,"ALLELUIA","SHIVA FEAT. SFERA EBBASTA","MILANO OVEST/COLUMBIA","SONY MUSIC"
10,"I'M GOOD (BLUE)","DAVID GUETTA & BEBE REXHA","PARLOPHONE UK","WARNER MUSIC"
11,"ABISSALE","TANANAI","CAPITOL","UNIVERSAL MUSIC"
12,"GIOVANI WANNABE","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
13,"!LY","THASUP FEAT. COEZ","ARISTA/COLUMBIA","SONY MUSIC"
14,"THE LONELIEST","MÅNESKIN","EPIC","SONY MUSIC"
15,"UNHOLY","SAM SMITH & KIM PETRAS","CAPITOL","UNIVERSAL MUSIC"
16,"S!R!","THASUP FEAT. LAZZA & SFERA EBBASTA","ARISTA/COLUMBIA/ISLAND","SONY MUSIC"
17,"CAPRI SUN","CAPO PLAZA","PLAZA MUSIC/ATLANTIC","WARNER MUSIC"
18,"TITÍ ME PREGUNTÓ","BAD BUNNY","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
19,"VIOLA","FEDEZ FEAT. SALMO","COLUMBIA","SONY MUSIC"
20,"BLOODY MARY","LADY GAGA","INTERSCOPE","UNIVERSAL MUSIC"
21,"USCITO DI GALERA","LAZZA","ISLAND","UNIVERSAL MUSIC"
22,"A L I","IRAMA","ATLANTIC","WARNER MUSIC"
23,"TAKE 4","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
24,"PASTELLO BIANCO","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
25,"DOVE SI BALLA","DARGEN D'AMICO","ISLAND","UNIVERSAL MUSIC"
26,"PIOVE","LAZZA & SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
27,"ANOTHER LOVE","TOM ODELL","SONY MUSIC UK","SONY MUSIC"
28,"CALM DOWN","REMA","VMLAS","UNIVERSAL MUSIC"
29,"MOLOTOV","LAZZA","ISLAND","UNIVERSAL MUSIC"
30,"NOSTALGIA","BLANCO","ISLAND","UNIVERSAL MUSIC"
31,"LA DOLCE VITA","FEDEZ, TANANAI & MARA SATTEI","COLUMBIA/CAPITOL","SONY MUSIC"
32,"DESPECHÁ","ROSALÍA","EPIC","SONY MUSIC"
33,"LET GO","CENTRAL CEE","CENTRAL CEE","WARNER MUSIC"
34,"MISS YOU","OLIVER TREE & ROBIN SCHULZ","ATLANTIC RECORDS","WARNER MUSIC"
35,"BELLA FREGATURA","ERNIA","ISLAND","UNIVERSAL MUSIC"
36,"5 GOCCE","IRAMA FEAT. RKOMI","ATLANTIC","WARNER MUSIC"
37,"SHAKERANDO","RHOVE","VIRGIN","UNIVERSAL MUSIC"
38,"VORREI","SHIVA FEAT. LAZZA","MILANO OVEST/COLUMBIA","SONY MUSIC"
39,"AS IT WAS","HARRY STYLES","COLUMBIA","SONY MUSIC"
40,"MUJER","ICY SUBZERO","COLUMBIA","SONY MUSIC"
41,"TÊTE","AVA FEAT. MEDY & VILLABANKS","ATLANTIC","WARNER MUSIC"
42,"ACQUA TONICA","ERNIA, GEOLIER & JUNIOR K","ISLAND","UNIVERSAL MUSIC"
43,"EXTASI","FRED DE PALMA","WARNER RECORDS","WARNER MUSIC"
44,"STAR WALKIN' (LEAGUE OF LEGENDS WORLDS ANTHEM)","LIL NAS X","COLUMBIA","SONY MUSIC"
45,"LA CODA DEL DIAVOLO","RKOMI & ELODIE","ISLAND","UNIVERSAL MUSIC"
46,"FARFALLE","SANGIOVANNI","SUGAR","UNIVERSAL MUSIC"
47,"CREEPIN'","METRO BOOMIN, THE WEEKND & 21 SAVAGE","REPUBLIC RECORDS","UNIVERSAL MUSIC"
