"RANK","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE"
48,"MONEY","GEOLIER","COLUMBIA","SONY MUSIC"
49,"LA BELLAVITA","PAKY & JUL","ISLAND","UNIVERSAL MUSIC"
50,"CARAMELLO","ROCCO HUNT, ELETTRA LAMBORGHINI & LOLA ÍNDIGO","EPIC","SONY MUSIC"
51,"IMPORTANTE","MARRACASH","ISLAND","UNIVERSAL MUSIC"
52,"NESSUNO","LAZZA & GEOLIER","ISLAND","UNIVERSAL MUSIC"
53,"LO-FI FOR U","TEDUA & SHUNE","EPIC","SONY MUSIC"
54,"HACE CALOR","KALEB DI MASI, SFERA EBBASTA & RVFV FEAT. OMAR VARELA","WAPEO","INDIPENDENTI"
55,"MI FAI IMPAZZIRE","BLANCO & SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
56,"VIENI NEL MIO CUORE","ULTIMO","ULTIMO RECORDS","BELIEVE"
57,"I LOVE YOU BABY","JOVANOTTI & SIXPM","CAPITOL","UNIVERSAL MUSIC"
58,"DON'T YOU WORRY","BLACK EYED PEAS, SHAKIRA & DAVID GUETTA","EPIC","SONY MUSIC"
59,"MADE YOU LOOK","MEGHAN TRAINOR","EPIC","SONY MUSIC"
60,"I AIN'T WORRIED","ONEREPUBLIC","VIRGIN","UNIVERSAL MUSIC"
61,"BRIVIDI","MAHMOOD & BLANCO","ISLAND","UNIVERSAL MUSIC"
62,"BABY GODDAMN","TANANAI","CAPITOL","UNIVERSAL MUSIC"
63,"HIKIKOMORI","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
64,"CRISI DI STATO","FEDEZ","COLUMBIA","SONY MUSIC"
65,"HEAVEN","BOOMDABASH & EIFFEL 65","B1","UNIVERSAL MUSIC"
66,"TROPICANA","BOOMDABASH & ANNALISA","CAPITOL/WARNER","UNIVERSAL MUSIC"
67,"LEI","NEIMA EZZA FEAT. RONDODASOSA","EPIC","SONY MUSIC"
68,"SENZA RUMORE","LAZZA","ISLAND","UNIVERSAL MUSIC"
69,"ZEN","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
70,"LOVE","MARRACASH & GUÈ","ISLAND","UNIVERSAL MUSIC"
71,"PARE","GHALI FEAT. MADAME","ATLANTIC","WARNER MUSIC"
72,"CUFF IT","BEYONCÉ","COLUMBIA","SONY MUSIC"
73,"ANTI-HERO","TAYLOR SWIFT","ISLAND","UNIVERSAL MUSIC"
74,"OK. RESPIRA","ELODIE","ISLAND","UNIVERSAL MUSIC"
75,"COLD HEART","ELTON JOHN & DUA LIPA","CAPITOL/WARNER","UNIVERSAL MUSIC"
76,"MI FIDERÒ","MARCO MENGONI FEAT. MADAME","EPIC/SUGAR","SONY MUSIC"
77,"BAGNO A MEZZANOTTE","ELODIE","ISLAND","UNIVERSAL MUSIC"
78,"FINCHÉ NON MI SEPPELLISCONO","BLANCO","ISLAND","UNIVERSAL MUSIC"
79,"SHALLOW","LADY GAGA & BRADLEY COOPER","VIRGIN","UNI"
80,"ESCAPISM.","RAYE FEAT. 070 SHAKE","HUMAN RE SOURCES","THE ORCHARD"
81,"BAM BAM","CAMILA CABELLO FEAT. ED SHEERAN","EPIC/WARNER","SONY MUSIC/WARNER MUSIC"
82,"UN ALTRO SHOW","SHIVA FEAT. GEOLIER","MILANO OVEST/COLUMBIA","SONY MUSIC"
83,"LA BACHATA","MANUEL TURIZO","EPIC","SONY MUSIC"
84,"TI VA DI STARE BENE","ULTIMO","ULTIMO RECORDS","BELIEVE"
85,"DESTRI","GAZZELLE","MACISTE DISCHI / ARTIST FIRST","ARTIST FIRST"
86,"CRAZY LOVE","MARRACASH","ISLAND","UNIVERSAL MUSIC"
87,"HEAT WAVES","GLASS ANIMALS","CAPITOL","UNIVERSAL MUSIC"
88,"ALL I WANT FOR CHRISTMAS IS YOU","MARIAH CAREY","COLUMBIA/LEGACY","SONY MUSIC"
89,"PEPAS","FARRUKO","EPIC","SONY MUSIC"
90,"CELESTIAL","ED SHEERAN","ATLANTIC RECORDS UK","WARNER MUSIC"
91,"NOTTI IN BIANCO","BLANCO","ISLAND","UNIVERSAL MUSIC"
92,"CIAO CIAO","LA RAPPRESENTANTE DI LISTA","WOODWORM/RCA NUMERO UNO ","SONY MUSIC"
93,"OVUNQUE SARAI","IRAMA","ATLANTIC","WARNER MUSIC"
94,"FINIMONDO","M¥SS KETA","ISLAND","UNIVERSAL MUSIC"
95,"SIMPLY THE BEST","BLACK EYED PEAS, ANITTA & EL ALFA","EPIC","SONY MUSIC"
96,"SUPERCLASSICO","ERNIA","ISLAND","UNIVERSAL MUSIC"
97,"ALIBI","LAZZA","ISLAND","UNIVERSAL MUSIC"
98,"MORTO MAI","LAZZA","ISLAND","UNIVERSAL MUSIC"
99,"NOTTI BLU","ALESSANDRA AMOROSO","EPIC","SONY MUSIC"
100,"MAMMA MIA","SFERA EBBASTA & RVSSIAN","ISLAND","UNIVERSAL MUSIC"
101,"HOLD ON","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
102,"SUPERMODEL","MÅNESKIN","EPIC","SONY MUSIC"
103,"R()T()NDA","THASUP FEAT. TIZIANO FERRO","ARISTA/COLUMBIA","SONY MUSIC"
104,"BLINDING LIGHTS","THE WEEKND","ISLAND","UNIVERSAL MUSIC"
105,"TRIBALE","ELODIE","ISLAND","UNIVERSAL MUSIC"
106,"PROPAGANDA","FABRI FIBRA, COLAPESCE & DIMARTINO","EPIC","SONY MUSIC"
107,"CRUDELIA (I NERVI)","MARRACASH","ISLAND","UNIVERSAL MUSIC"
108,"BUBBLE","TAKAGI & KETRA FEAT. THASUP & SALMO","COLUMBIA","SONY MUSIC"
109,"PERFECT","ED SHEERAN","ATLANTIC RECORDS","WARNER MUSIC"
110,"ABCDEFU","GAYLE","ATLANTIC","WARNER MUSIC"
111,"FREED FROM DESIRE","GALA","DO IT YOURSELF","BELIEVE"
112,"NUOVO RANGE","RKOMI, SFERA EBBASTA & JUNIOR K","ISLAND","UNIVERSAL MUSIC"
113,"HOLD ME CLOSER","ELTON JOHN & BRITNEY SPEARS","CAPITOL/SONY","UNIVERSAL MUSIC"
114,"SCRIVILE SCEMO","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
115,"BONES","IMAGINE DRAGONS","VIRGIN","UNIVERSAL MUSIC"
116,"MOCKINGBIRD","EMINEM","AFTERMATH","UNIVERSAL MUSIC"
117,"FORGET ME","LEWIS CAPALDI","VIRGIN","UNIVERSAL MUSIC"
118,"LUNA PIENA","RKOMI, IRAMA & SHABLO","ISLAND/WARNER","UNIVERSAL MUSIC"
119,"SUAVEMENTE","SOOLKING FEAT. BORO BORO","VIRGIN","UNIVERSAL MUSIC"
120,"MICHELLE PFEIFFER","ROSE VILLAIN FEAT. TONY EFFE","COLUMBIA","SONY MUSIC"
121,"WHERE ARE YOU NOW","LOST FREQUENCIES & CALUM SCOTT","EPIC","SONY MUSIC"
122,"MALA","FRED DE PALMA FEAT. JVLI, LAZZA & TONY EFFE","WM ITALY","WARNER MUSIC"
123,"CUP","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
124,"BLUE CHEESE","RONDODASOSA & NKO FEAT. LAZZA","REAL MUSIC/ATLANTIC","WARNER MUSIC"
125,"LIFT ME UP","RIHANNA","ISLAND","UNIVERSAL MUSIC"
126,"INSUPERABILE","RKOMI","ISLAND","UNIVERSAL MUSIC"
127,"EGO","ICY SUBZERO","COLUMBIA","SONY MUSIC"
128,"FERMA A GUARDARE","ERNIA & PINGUINI TATTICI NUCLEARI","ISLAND","UNIVERSAL MUSIC"
129,"SAVE YOUR TEARS","THE WEEKND","ISLAND","UNIVERSAL MUSIC"
130,"RIDERE","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
131,"PENSAVA","ICY SUBZERO","COLUMBIA","SONY MUSIC"
132,"SHARM EL SHEIKH","PAKY","ISLAND","UNIVERSAL MUSIC"
133,"MALIBÙ","SANGIOVANNI","SUGAR","UNIVERSAL MUSIC"
134,"C!AO","THASUP FEAT. RONDODASOSA","ARISTA/COLUMBIA","SONY MUSIC"
135,"SE LO SENTI LO SAI","JOVANOTTI","CAPITOL","UNIVERSAL MUSIC"
136,"TUTTI I MIEI RICORDI","MARCO MENGONI","EPIC","SONY MUSIC"
137,"ANGELINA JOLIE","BRESH","EPIC","SONY MUSIC"
138,"T'APPARTENGO","AMBRA","RCA RECORDS LABEL","SONY MUSIC"
139,"PUROSANGUE","LUCHÈ FEAT. SHIVA","COLUMBIA","SONY MUSIC"
140,"MILLE","FEDEZ, ACHILLE LAURO & ORIETTA BERTI","SONY/WARNER","SONY MUSIC"
141,"SOMEONE YOU LOVED","LEWIS CAPALDI","VIRGIN","UNI"
142,"CHE SARÀ","ACHILLE LAURO","ELEKTRA RECORDS ITALY","WARNER MUSIC"
143,"KUMITE","SALMO","COLUMBIA","SONY MUSIC"
144,"GIORNI CONTATI","NIGHT SKINNY, PAKY & NOYZ NARCOS FEAT. GEOLIER & SHIVA","ISLAND","UNIVERSAL MUSIC"
145,"LA NOTTE DI SAN LORENZO","LUCHÈ","BFM MUSIC","SONY MUSIC"
146,"NON LO DIRE A NESSUNO","GAZZELLE","MACISTE DISCHI / ARTIST FIRST","ARTIST FIRST"
147,"VIVA LA VIDA","COLDPLAY","PARLOPHONE","WARNER MUSIC"
148,"OCCHI ROSSI","COEZ","CAROSELLO RECORDS","THE ORCHARD"
149,"SHIVERS","ED SHEERAN","ATLANTIC RECORDS UK","WARNER MUSIC"
150,"CAOS","FABRI FIBRA, LAZZA & MADAME","EPIC","SONY MUSIC"
151,"CASA","NEIMA EZZA & NKO","EPIC","SONY MUSIC"
152,"BAD MEMORIES","MEDUZA & JAMES CARTER FEAT. ELLEY DUHÉ & FAST BOY","UNIVERSAL-ISLAND RECORDS LTD.","UNIVERSAL MUSIC"
153,"BANDITO","MAMBOLOSCO, NARDI & FINESSE","VIRGIN","UNIVERSAL MUSIC"
154,"JINGLE BELL ROCK","BOBBY HELMS","GEFFEN","UNIVERSAL MUSIC"
155,"PENSANDO A LEI","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
156,"ME PORTO BONITO","BAD BUNNY & CHENCHO CORLEONE","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
157,"BUONANOTTE","ERNIA","ISLAND","UNIVERSAL MUSIC"
158,"EASY ON ME","ADELE","COLUMBIA","SONY MUSIC"
159,"STAY","THE KID LAROI & JUSTIN BIEBER","COLUMBIA/ISLAND","SONY MUSIC/UNIVERSAL MUSIC"
160,"FELIZ NAVIDAD","JOSÉ FELICIANO","RCA RECORDS LABEL","SONY MUSIC"
161,"IL MIO NOME","ERNIA","ISLAND","UNIVERSAL MUSIC"
162,"NULLA DI","LAZZA","ISLAND","UNIVERSAL MUSIC"
163,"LAST CHRISTMAS","WHAM!","SONY MUSIC","SONY MUSIC"
164,"L'ULTIMA NOTTE","ARIETE","BOMBA DISCHI","UNIVERSAL MUSIC"
165,"SESSO OCCASIONALE","TANANAI","CAPITOL","UNIVERSAL MUSIC"
166,"HOLD MY HAND","LADY GAGA","VIRGIN","UNIVERSAL MUSIC"
167,"THUNDER","GABRY PONTE, LUM!X & PREZIOSO","GEKAI","WARNER MUSIC"
168,"KILL BILL","SZA","RCA","SONY MUSIC"
169,"IL MEGLIO DI TE","BRESH & SHUNE","EPIC","SONY MUSIC"
170,"NON ABBIAMO ETÀ","LUCHÈ","ISLAND","UNIVERSAL MUSIC"
171,"DOJA","CENTRAL CEE","CENTRAL CEE","WARNER MUSIC"
172,"GASOLINA","ANNA","VIRGIN","UNIVERSAL MUSIC"
173,"COME NELLE CANZONI","COEZ","CAROSELLO RECORDS","THE ORCHARD"
174,"DIAMANTE","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
175,"RICH FLEX","DRAKE & 21 SAVAGE","ISLAND","UNIVERSAL MUSIC"
176,"LA CANZONE NOSTRA","MACE, BLANCO & SALMO","ISLAND/SONY","UNIVERSAL MUSIC"
177,"RUNNING UP THAT HILL (A DEAL WITH GOD)","KATE BUSH","NOBLE & BRITE","WARNER MUSIC"
178,"LA MUSICA NON C'È","COEZ","UNDAMENTO","INDIPENDENTI"
179,"BAD HABITS","ED SHEERAN","ATLANTIC RECORDS UK","WARNER MUSIC"
180,"UNTIL I FOUND YOU","STEPHEN SANCHEZ","REPUBLIC RECORDS","UNIVERSAL MUSIC"
181,"CICATRICI","SHIVA FEAT. TEDUA","MILANO OVEST/COLUMBIA","SONY MUSIC"
182,"CAN'T HOLD US","MACKLEMORE & RYAN LEWIS FEAT. RAY DALTON","MACKLEMORE","WARNER MUSIC"
183,"HOW DO I SAY GOODBYE","DEAN LEWIS","UNIVERSAL MUSIC AUSTRALIA PTY. LTD.","UNIVERSAL MUSIC"
184,"L'ULTIMA VOLTA","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
185,"PAMPAMPAMPAMPAMPAMPAMPAM","IRAMA","ATLANTIC/WM ITALY","WARNER MUSIC"
186,"AUTO TEDESCA","PAKY","ISLAND","UNIVERSAL MUSIC"
187,"A' VITA SENZ' E TE (ME FA PAURA)","ROCCO HUNT","EPIC","SONY MUSIC"
188,"SETTIMANA BIANCA","IL PAGANTE","IL PAGANTE","BELIEVE"
189,"BELLY DANCER","IMANBEK & BYOR","MUSICAL FREEDOM","WARNER MUSIC"
190,"GOLDEN HOUR","JVKE","JVKE","THE ORCHARD"
191,"UNSTOPPABLE","SIA","MONKEY PUZZLE RECORDS/RCA RECORDS","SONY MUSIC"
192,"ENEMY","IMAGINE DRAGONS, JID & LEAGUE OF LEGENDS","VIRGIN","UNIVERSAL MUSIC"
193,"BRIVIDO","GUÈ PEQUENO FEAT. MARRACASH","UNIVERSAL MUSIC","UNIVERSAL MUSIC"
194,"PISTOLE NELLA FENDI","NIKO PANDETTA, TEMPOXSO & JANAX","N.P. PRODUCTION","ADA"
195,"BEGGIN'","MÅNESKIN","EPIC","SONY MUSIC"
196,"CRAZY WHAT LOVE CAN DO","DAVID GUETTA, BECKY HILL & ELLA HENDERSON","PARLOPHONE UK","WARNER MUSIC"
197,"ABOUT DAMN TIME","LIZZO","ATLANTIC RECORDS","WARNER MUSIC"
198,"STARBOY","THE WEEKND FEAT. DAFT PUNK","UNIVERSAL REPUBLIC RECORDS","UNIVERSAL MUSIC"
199,"UNDER THE INFLUENCE","CHRIS BROWN","RCA RECORDS LABEL","SONY MUSIC"
200,"ROCKIN' AROUND THE CHRISTMAS TREE","BRENDA LEE","UNIVERSAL MUSIC","UNIVERSAL MUSIC"
201,"M' MANC","SHABLO, GEOLIER & SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
202,"SHARKS","IMAGINE DRAGONS","VIRGIN","UNIVERSAL MUSIC"
203,"UNA NOCHE EN MEDELLÍN","CRIS MJ","NABRU RECORDS LLC","THE ORCHARD"
204,"ALWAYS REMEMBER US THIS WAY","LADY GAGA","VIRGIN","UNIVERSAL MUSIC"
205,"RIPTIDE","VANCE JOY","F-STOP RECORDS","WARNER MUSIC"
206,"SOLDI PULITI","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
207,"NIENTE DA PERDERE","SHIVA","COLUMBIA","SONY MUSIC"
208,"HAPPY XMAS (WAR IS OVER)","JOHN LENNON, YOKO ONO, THE HARLEM COMMUNITY CHOIR & THE PLASTIC ONO BAND","UNIVERSAL MUSIC","UNIVERSAL MUSIC"
209,"DUBBI","MARRACASH","ISLAND","UNIVERSAL MUSIC"
210,"CLAP YOUR HANDS","KUNGS","VIRGIN","UNIVERSAL MUSIC"
211,"CIAO BABY","GEMITAIZ","TANTA ROBA/ISLAND","UNIVERSAL MUSIC"
212,"NO STRESS","MARCO MENGONI","EPIC","SONY MUSIC"
213,"BANG BANG","SFERA EBBASTA","ISLAND / DEFJAM RECORDINGS","UNIVERSAL MUSIC"
214,"NEMESI","MARRACASH & BLANCO","ISLAND","UNIVERSAL MUSIC"
215,"DIE FOR YOU","THE WEEKND","UNIVERSAL REPUBLIC RECORDS","UNIVERSAL MUSIC"
216,"IL CIELO NELLA STANZA","SALMO FEAT. NSTASIA","EPIC","SME"
217,"EVERY BREATH YOU TAKE","THE POLICE","POLYDOR ASSOCIATED LABELS","UNIVERSAL MUSIC"
218,"OCCHI GRANDI GRANDI","FRANCESCA MICHIELIN","COLUMBIA","SONY MUSIC"
219,"OJITOS LINDOS","BAD BUNNY & BOMBA ESTÉREO","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
220,"MI @MI O È F@KE","THASUP","ARISTA/COLUMBIA","SONY MUSIC"
221,"BOTTIGLIE PRIVÈ","SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
222,"VUOTO DENTRO","SICK LUKE, MARA SATTEI & BRESH","CAROSELLO RECORDS","UNIVERSAL MUSIC"
223,"NON FARE COSÌ","CAPO PLAZA","PLAZA MUSIC/ATLANTIC /WM ITALY","WARNER MUSIC"
224,"MALEDETTA PRIMAVERA","LORETTA GOGGI","WM ITALY","WARNER MUSIC"
225,"RITMO","RAFFA FL","HOWEDO MUSIC","INDIPENDENTI"
226,"SE$$O","BEATRICE QUINTA","SONY MUSIC","SONY MUSIC"
227,"DÁKITI","BAD BUNNY & JHAY CORTEZ","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
228,"STAGE DIVING","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
229,"PARTIRE DA TE","RKOMI","ISLAND","UNIVERSAL MUSIC"
230,"TIENATÉ","NU GENEA","NG RECORDS LICENSED TO CAROSELLO RECORDS","THE ORCHARD"
231,"50 SPECIAL","LÙNAPOP","UNIVERSAL MUSIC ITALIA SRL.","UNIVERSAL MUSIC"
232,"MARGHERITA","COEZ","CAROSELLO RECORDS","THE ORCHARD"
233,"SWEATER WEATHER","THE NEIGHBOURHOOD","COLUMBIA","SONY MUSIC"
234,"MUSICA LEGGERISSIMA","COLAPESCE & DIMARTINO","COLUMBIA","SONY MUSIC "
235,"2 BE LOVED (AM I READY)","LIZZO","NICE LIFE/ATLANTIC","WARNER MUSIC"
236,"HULA-HOOP","CARL BRAVE & NOEMI","COLUMBIA/ISLAND","SONY MUSIC"
237,"ONE KISS","CALVIN HARRIS & DUA LIPA","SONY/WARNER","SONY MUSIC"
238,"SANTA TELL ME","ARIANA GRANDE","REPUBLIC RECORDS","UNIVERSAL MUSIC"
239,"HALLELUJAH","PENTATONIX","RCA RECORDS LABEL","SONY MUSIC"
240,"MONOTONÍA","SHAKIRA & OZUNA","EPIC","SONY MUSIC"
241,"CANCELO","RHOVE","VIRGIN","UNIVERSAL MUSIC"
242,"SOLITE PARE","SICK LUKE, THA SUPREME & SFERA EBBASTA","CAROSELLO RECORDS","UNIVERSAL MUSIC"
243,"LA NUOVA STELLA DI BROADWAY","CESARE CREMONINI","VIRGIN","UNIVERSAL MUSIC"
244,"SOGNI D'ORO","LAZZA","ISLAND","UNIVERSAL MUSIC"
245,"LET IT SNOW! LET IT SNOW! LET IT SNOW!","DEAN MARTIN","CAPITOL RECORDS","UNIVERSAL MUSIC"
246,"FEDELE AL QUARTIERE","NEIMA EZZA & 2ND ROOF FEAT. VALE PAIN","EPIC","SONY MUSIC"
247,"NON È EASY","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
248,"SNOWMAN","SIA","MONKEY PUZZLE/ATLANTIC","WARNER MUSIC"
249,"LOVE TONIGHT","SHOUSE","HELL BEACH","INGROOVES"
250,"SCOOBY DOO","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
251,"LE LUCI DELLA CITTÀ","COEZ","UNDAMENTO","INDIPENDENTI"
252,"BAD HABIT","STEVE LACY","RCA","SONY MUSIC"
253,"I GOTTA FEELING","THE BLACK EYED PEAS","INTERSCOPE","UNIVERSAL MUSIC"
254,"ROZZI","PAKY","BRIOCHE EDIZIONI MUSICALI","BELIEVE"
255,"AUDI","SICK LUKE, RHOVE & CAPO PLAZA","CAROSELLO RECORDS","UNIVERSAL MUSIC"
256,"UNA DIREZIONE GIUSTA","YUNGEST MOONSTAR, NEFFA & THASUP","COLUMBIA","SONY MUSIC"
257,"DANCE MONKEY","TONES AND I","ELEKTRA (NEK)","WARNER MUSIC"
258,"JINGLE BELLS","MICHAEL BUBLÉ FEAT. THE PUPPINI SISTERS","WARNER RECORDS","WARNER MUSIC"
259,"SANTA CLAUS IS COMIN' TO TOWN","FRANK SINATRA","FRANK SINATRA HYBRID","UNIVERSAL MUSIC"
260,"SHAPE OF YOU","ED SHEERAN","ATLANTIC RECORDS UK","WARNER MUSIC"
261,"10:35","TIËSTO & TATE MCRAE","ATLANTIC RECORDS","WARNER MUSIC"
262,"TAKE ME TO CHURCH","HOZIER","ISLAND","UNIVERSAL MUSIC"
263,"TIK TOK","SFERA EBBASTA, MARRACASH & GUÈ PEQUENO","ISLAND","UNIVERSAL MUSIC"
264,"RAMENEZ LA COUPE À LA MAISON","VEGEDREAM","UNIVERSAL MUSIC","UNIVERSAL MUSIC"
265,"ZITTI E BUONI","MÅNESKIN","EPIC","SONY MUSIC"
266,"PICCOLA STELLA","ULTIMO","HONIRO","BELIEVE"
267,"ROLLIE AP","SHIVA FEAT. PYREX & SLINGS","MILANO OVEST/COLUMBIA","SONY MUSIC"
268,"JUST DANCE","LADY GAGA FEAT. COLBY O'DONIS","INTERSCOPE","UNIVERSAL MUSIC"
269,"A MANO A MANO","RINO GAETANO","RCA RECORDS LABEL","SONY MUSIC"
270,"BARFLY","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
271,"DENTISTA CROAZIA","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
272,"GIVE IT TO ME","MATT SASSARI","CR2 RECORDS","BELIEVE"
273,"FRIDAY","RITON & NIGHTCRAWLERS FEAT. MUFASA & HYPEMAN","COLUMBIA INTERNATIONAL","SONY MUSIC "
274,"I WANNA BE YOUR SLAVE","MÅNESKIN","EPIC","SONY MUSIC"
275,"GLIMPSE OF US","JOJI","88RISING MUSIC/WARNER RECORDS","WARNER MUSIC"
276,"TU MI HAI CAPITO","MADAME FEAT. SFERA EBBASTA","SUGAR/ISLAND","UNIVERSAL MUSIC"
277,"BELIEVER","IMAGINE DRAGONS","KID INA KORNER / INTERSCOPE","UNIVERSAL MUSIC"
278,"TRAN TRAN","SFERA EBBASTA","ISLAND / DEFJAM RECORDINGS","UNIVERSAL MUSIC"
279,"LA FINE","MÅNESKIN","RCA","SONY MUSIC"
280,"MY UNIVERSE","COLDPLAY & BTS","PARLOPHONE UK","WARNER MUSIC"
281,"BOHEMIAN RHAPSODY","QUEEN","USM","UNI"
282,"CHIC","IZI","EPIC","SONY MUSIC"
283,"COMPLIQUÈ","RHOVE, SHIVA & GHALI","VIRGIN/COLUMBIA/ ATLANTIC RECORDS","UNIVERSAL MUSIC"
284,"WITHOUT ME","EMINEM","AFTERMATH","UNIVERSAL MUSIC"
285,"I'M NOT THE ONLY ONE","SAM SMITH","CAPITOL","UNIVERSAL MUSIC"
