"RANK","LAST","ON","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE",
1,1,87,"THE DARK SIDE OF THE MOON","PINK FLOYD","PARLOPHONE","WARNER MUSIC"
2,2,7,"AM","ARCTIC MONKEYS","DOMINO","SELF"
3,5,8,"THRILLER - 40TH ANNIVERSARY EDITION","MICHAEL JACKSON","EPIC","SONY MUSIC"
4,3,6,"FAKE NEWS","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
5,6,11,"NOI, LORO, GLI ALTRI DELUXE","MARRACASH","ISLAND","UNIVERSAL MUSIC"
6,4,8,"CANZONI DA INTORTO","FRANCESCO GUCCINI","BMG RIGHTS MANAGEMENT","UNIVERSAL MUSIC"
7,13,2,"AFTER HOURS","THE WEEKND","ISLAND","UNIVERSAL MUSIC"
8,"NEW",1,"NEVERMIND","NIRVANA","GEFFEN RECORDS/USM","UNIVERSAL MUSIC"
9,15,6,"THE WALL","PINK FLOYD","PARLOPHONE","WARNER MUSIC"
10,9,7,"HARRY'S HOUSE","HARRY STYLES","COLUMBIA","SONY MUSIC"
11,"NEW",1,"GREATEST HITS I","QUEEN","USM","UNIVERSAL MUSIC"
12,14,5,"MIDNIGHTS","TAYLOR SWIFT","ISLAND","UNIVERSAL MUSIC"
13,8,3,"WISH YOU WERE HERE","PINK FLOYD","PARLOPHONE","WARNER MUSIC"
14,18,2,"HARRY STYLES","HARRY STYLES","COLUMBIA","SONY MUSIC"
15,7,4,"LEGEND","BOB MARLEY & THE WAILERS","USM","UNIVERSAL MUSIC"
16,"NEW",1,"BACK TO BLACK","AMY WINEHOUSE","USM","UNIVERSAL MUSIC"
17,"NEW",1,"SOLO","ULTIMO","ULTIMO RECORDS","BELIEVE"
18,10,7,"TEATRO D'IRA - VOL. I","MÅNESKIN","EPIC","SONY MUSIC"
19,"NEW",1,"GREATEST HITS II","QUEEN","USM","UNIVERSAL MUSIC"
20,"NEW",1,"EVERY LOSER","IGGY POP","ATLANTIC","WARNER MUSIC"
