"RANK","LAST","ON","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE",
1,"NEW",1,"IL CORAGGIO DEI BAMBINI","GEOLIER","COLUMBIA","SONY MUSIC"
2,1,7,"MILANO DEMONS","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
3,2,40,"SIRIO","LAZZA","ISLAND","UNIVERSAL MUSIC"
4,3,6,"FAKE NEWS","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
5,4,15,"C@RA++ERE S?EC!@LE","THASUP","ARISTA/COLUMBIA","SONY MUSIC"
6,5,8,"IO NON HO PAURA","ERNIA","ISLAND","UNIVERSAL MUSIC"
7,7,46,"IL GIORNO IN CUI HO SMESSO DI PENSARE","IRAMA","ATLANTIC","WARNER MUSIC"
8,6,60,"NOI, LORO, GLI ALTRI DELUXE","MARRACASH","ISLAND","UNIVERSAL MUSIC"
9,8,7,"RAVE, ECLISSI","TANANAI","CAPITOL","UNIVERSAL MUSIC"
10,9,89,"TAXI DRIVER","RKOMI","ISLAND","UNIVERSAL MUSIC"
11,11,44,"SALVATORE","PAKY","ISLAND","UNIVERSAL MUSIC"
12,10,59,"DISUMANO","FEDEZ","COLUMBIA","SONY MUSIC"
13,12,36,"UN VERANO SIN TI","BAD BUNNY","RIMAS ENTERTAINMENT LLC","THE ORCHARD"
14,13,58,"MATERIA (PELLE)","MARCO MENGONI","EPIC","SONY MUSIC"
15,14,17,"BOTOX","NIGHT SKINNY","ISLAND","UNIVERSAL MUSIC"
16,17,6,"HEROES & VILLIANS","METRO BOOMIN","REPUBLIC RECORDS","UNIVERSAL MUSIC"
17,15,70,"BLU CELESTE","BLANCO","ISLAND","UNIVERSAL MUSIC"
18,16,110,"AHIA!","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
19,20,12,"MIDNIGHTS","TAYLOR SWIFT","ISLAND","UNIVERSAL MUSIC"
20,19,34,"HARRY'S HOUSE","HARRY STYLES","COLUMBIA","SONY MUSIC"
21,21,167,"PERSONA","MARRACASH","ISLAND","UNIVERSAL MUSIC"
22,22,18,"SOTTOZERO","ICY SUBZERO","MATTEO D'ALESSIO","SONY MUSIC"
23,23,32,"HUSTLE MIXTAPE","CAPO PLAZA","PLAZA MUSIC/ATLANTIC","WARNER MUSIC"
24,32,147,"AFTER HOURS","THE WEEKND","ISLAND","UNIVERSAL MUSIC"
25,31,45,"ORO BLU","BRESH","EPIC","SONY MUSIC"
26,25,53,"X2 DELUXE","SICK LUKE","CAROSELLO","UNIVERSAL MUSIC"
27,29,202,"RE MIDA (AURUM)","LAZZA","ISLAND","UNIVERSAL MUSIC"
28,27,112,"FAMOSO","SFERA EBBASTA","ISLAND","UNIVERSAL MUSIC"
29,26,10,"TRENCHES BABY","RONDODASOSA","REAL MUSIC/WM ITALY","WARNER MUSIC"
30,28,41,"DOVE VOLANO LE AQUILE","LUCHE'","COLUMBIA","SONY MUSIC"
31,36,64,"SOLO","ULTIMO","ULTIMO RECORDS","BELIEVE"
32,33,28,"GI?","NEIMA EZZA","EPIC","SONY MUSIC"
33,30,62,"RIVOLUZIONE","ROCCO HUNT","EPIC","SONY MUSIC"
34,35,28,"AM","ARCTIC MONKEYS","DOMINO","SELF"
35,48,5,"SOS","SZA","RCA RECORDS LABEL","SONY MUSIC"
36,18,8,"CANZONI DA INTORTO","FRANCESCO GUCCINI","BMG RIGHTS MANAGEMENT","UNIVERSAL MUSIC"
37,34,95,"TEATRO D'IRA - VOL. I","MÅNESKIN","EPIC","SONY MUSIC"
38,37,107,"ROCKSTAR (POPSTAR EDITION)","SFERA EBBASTA","ISLAND/DEF JAM RECORDINGS","UNIVERSAL MUSIC"
39,38,197,"FUORI DALL'HYPE","PINGUINI TATTICI NUCLEARI","COLUMBIA","SONY MUSIC"
40,39,134,"GEMELLI-ASCENDENTE MILANO","ERNIA","ISLAND","UNIVERSAL MUSIC"
41,24,5,"IL DISCO DEL SOLE","JOVANOTTI","CAPITOL","UNIVERSAL MUSIC"
42,44,43,"CAOS","FABRI FIBRA","EPIC","SONY MUSIC"
43,46,25,"SFERA EBBASTA","SFERA EBBASTA","ISLAND / DEFJAM RECORDINGS","UNIVERSAL MUSIC"
44,52,13,"THE DARK SIDE OF THE MOON","PINK FLOYD","PARLOPHONE","WARNER MUSIC"
45,43,71,"MERCURY ACT 1&2","IMAGINE DRAGONS","VIRGIN","UNIVERSAL MUSIC"
46,45,9,"IL MONDO E' NOSTRO","TIZIANO FERRO ","VIRGIN","UNIVERSAL MUSIC"
47,49,25,"STARBOY","THE WEEKND","UNIVERSAL INT. MUSIC","UNIVERSAL MUSIC"
48,51,100,"OK UN CAZZO","GAZZELLE","MACISTE DISCHI/ARTIST FIRST","ARTIST FIRST"
49,57,57,"GVESVS","GUÈ","ISLAND","UNIVERSAL MUSIC"
50,42,7,"PLC TAPE 1","FRED DE PALMA","WARNER RECORDS","WARNER MUSIC"
51,54,58,"VOLARE","COEZ","CAROSELLO RECORDS","ARTIST FIRST/THE ORCHARD"
52,40,18,"MOTOMAMI","ROSALIA","COLUMBIA","SONY MUSIC"
53,53,35,"ECLISSI","GEMITAIZ","TANTA ROBA LABEL/ISLAND","UNIVERSAL MUSIC"
54,50,67,"FLOP","SALMO","COLUMBIA","SONY MUSIC"
