"RANK","LAST","ON","TITOLO","ARTISTA","ETICHETTA","DISTRIBUTORE",
55,47,9,"ELEVATION","BLACK EYED PEAS","EPIC","SONY MUSIC"
56,58,8,"THRILLER - 40TH ANNIVERSARY EDITION","MICHAEL JACKSON","EPIC","SONY MUSIC"
57,"NEW",1,"EVERY LOSER","IGGY POP","ATLANTIC","WARNER MUSIC"
58,56,218,"PLAYLIST","SALMO","EPIC","SONY MUSIC"
59,55,3,"EMANUELE (MARCHIO REGISTRATO)","GEOLIER","ISLAND","UNIVERSAL MUSIC"
60,60,165,"23 6451","THA SUPREME","ARISTA","SONY MUSIC"
61,63,29,"POTERE (IL GIORNO DOPO)","LUCHÈ","ISLAND","UNIVERSAL MUSIC"
62,62,10,"HER LOSS","DRAKE & 21 SAVAGE","ISLAND","UNIVERSAL MUSIC"
63,66,63,"=","ED SHEERAN","ASYLUM/ATLANTIC UK","WARNER MUSIC"
64,82,4,"REGARDEZ MOI","FRAH QUINTALE","UNDAMENTO","SELF"
65,65,3,"DARK LOVE EP","SHIVA","MILANO OVEST/COLUMBIA","SONY MUSIC"
66,61,24,"RENAISSANCE","BEYONCE","PARKWOOD ENTERTAINMENT/COLUMBI","SONY MUSIC"
67,69,3,"CADERE VOLARE","SANGIOVANNI","SUGAR","UNIVERSAL MUSIC"
68,71,3,"A STAR IS BORN (O.S.T.)","LADY GAGA & BRADLEY COOPER","VIRGIN","UNIVERSAL MUSIC"
69,74,136,"VITA VERA - MIXTAPE, ASPETTANDO LA DIVINA COMMEDIA","TEDUA","EPIC","SONY MUSIC"
70,72,9,"TUTTO ACCADE","ALESSANDRA AMOROSO","EPIC","SONY MUSIC"
71,64,51,"BELLA VITA","NIKO PANDETTA","N.P. PRODUCTION","ADA"
72,80,34,"COLPA DELLE FAVOLE","ULTIMO","HONIRO","BELIEVE"
73,78,2,"IL MEGLIO DELLO ZECCHINO D'ORO","ARTISTI VARI","ZECCHINO D'ORO","SONY MUSIC"
74,93,7,"NEVERMIND","NIRVANA","GEFFEN RECORDS/USM","UNIVERSAL MUSIC"
75,59,9,"ONLY THE STRONG SURVIVE","BRUCE SPRINGSTEEN ","COLUMBIA","SONY MUSIC"
76,68,3,"SENSAZIONE ULTRA","GHALI","STO RECORDS/ATLANTIC","WARNER MUSIC"
77,89,2,"OBE","MACE","ISLAND","UNIVERSAL MUSIC"
78,79,2,"FACCIO UN CASINO","COEZ","UNDAMENTO","SELF"
79,84,2,"MADAME","MADAME","SUGAR","UNIVERSAL MUSIC"
80,86,2,"PETER PAN","ULTIMO","HONIRO","BELIEVE"
81,98,2,"NON SIAMO SOLI","ALEX W","21CO","ARTIST FIRST"
82,91,2,"PIANETI","ULTIMO","HONIRO","BELIEVE"
83,"NEW",1,"RITORNO AL FUTURO/BACK TO THE FUTURE","ELISA","ISLAND","UNIVERSAL MUSIC"
84,76,2,"NEI SOGNI NESSUNO E' MONOGAMO","DARGEN D'AMICO","ISLAND","UNIVERSAL MUSIC"
85,70,2,"÷","ED SHEERAN","ATLANTIC","WARNER MUSIC"
86,67,2,"THE LOCKDOWN SESSIONS","ELTON JOHN","CAPITOL","UNIVERSAL MUSIC"
87,81,2,"PLAZA (DELUXE EDITION)","CAPO PLAZA","PLAZA MUSIC/ATLANTIC","WARNER MUSIC"
88,92,2,"ORANGE COUNTY CALIFORNIA","TEDUA","THAURUS/ISLAND","UNIVERSAL MUSIC"
89,83,2,"BORN THIS WAY","LADY GAGA","VIRGIN","UNIVERSAL MUSIC"
90,75,2,"20","CAPO PLAZA","PLAZA MUSIC/STO RECORDS/ATLANTIC","WARNER MUSIC"
91,85,2,"MACHETE MIXTAPE 4","MACHETE","EPIC","SONY MUSIC"
92,73,98,"IL BALLO DELLA VITA","MÅNESKIN","EPIC","SONY MUSIC"
93,96,2,"DIVINELY UNINSPIRED TO A HELLISH EXTENT","LEWIS CAPALDI","VIRGIN","UNIVERSAL MUSIC"
94,95,4,"ASTROWORLD","TRAVIS SCOTT","EPIC/GRAND HUSTLE/CACTUS JACK","SONY MUSIC"
95,88,2,"FUTURE NOSTALGIA","DUA LIPA","WARNER RECORDS","WARNER MUSIC"
96,100,6,"30","ADELE","COLUMBIA","SONY MUSIC"
97,"NEW",1,"THE EMINEM SHOW","EMINEM","USM","UNIVERSAL MUSIC"
98,94,5,"FINE LINE","HARRY STYLES","COLUMBIA","SONY MUSIC"
99,"NEW",1,"THE WALL","PINK FLOYD","PARLOPHONE","WARNER MUSIC"
100,99,7,"VASCO LIVE ROMA CIRCO MASSIMO","VASCO ROSSI","VIRGIN","UNIVERSAL MUSIC"
